jobname,read_iops,read_bw (MiB/s),read_lat (usec),write_iops,write_bw (MiB/s),write_lat (usec)
mh-estimation-test,33050,516,26600,5864,91,21914
google-iops-randread-perf,118681,463,4281,0,0,0
google-iops-randwrite-perf,0,0,0,57019,222,8908
random-read-4k-blocks-1c,11151,43,86,0,0,0
random-read-4k-blocks-2c,22128,86,87,0,0,0
random-read-4k-blocks-4c,42917,167,90,0,0,0
random-read-4k-blocks-8c,79621,311,97,0,0,0
random-read-4k-blocks-16c,117932,460,131,0,0,0
random-read-4k-blocks-32c,117160,457,269,0,0,0
random-read-4k-blocks-64c,117160,457,542,0,0,0
random-read-8k-blocks-1c,10445,81,92,0,0,0
random-read-8k-blocks-2c,20466,159,94,0,0,0
random-read-8k-blocks-4c,38703,302,100,0,0,0
random-read-8k-blocks-8c,67858,530,114,0,0,0
random-read-8k-blocks-16c,66135,516,238,0,0,0
random-read-8k-blocks-32c,66135,516,480,0,0,0
random-read-8k-blocks-64c,66135,516,964,0,0,0
random-read-16k-blocks-1c,9519,148,101,0,0,0
random-read-16k-blocks-2c,18596,290,104,0,0,0
random-read-16k-blocks-4c,32605,509,119,0,0,0
random-read-16k-blocks-8c,79408,310,97,0,0,0
random-read-16k-blocks-16c,33067,516,480,0,0,0
random-read-16k-blocks-32c,33067,516,964,0,0,0
random-read-16k-blocks-64c,33066,516,1931,0,0,0
random-write-4k-blocks-1c,0,0,0,33416,130,26
random-write-4k-blocks-2c,0,0,0,58278,227,31
random-write-4k-blocks-4c,0,0,0,57026,222,66
random-write-4k-blocks-8c,0,0,0,57026,222,136
random-write-4k-blocks-16c,0,0,0,57026,222,277
random-write-4k-blocks-32c,0,0,0,57026,222,557
random-write-4k-blocks-64c,0,0,0,57024,222,1118
random-write-8k-blocks-1c,0,0,0,31157,243,28
random-write-8k-blocks-2c,0,0,0,32173,251,58
random-write-8k-blocks-4c,0,0,0,32173,251,120
random-write-8k-blocks-8c,0,0,0,32173,251,245
random-write-8k-blocks-16c,0,0,0,32173,251,493
random-write-8k-blocks-32c,0,0,0,32173,251,990
random-write-8k-blocks-64c,0,0,0,32172,251,1985
