jobname,read_iops,read_bw (MiB/s),read_lat (usec),write_iops,write_bw (MiB/s),write_lat (usec)
mh-estimation-test,249949,3905,3578,44129,689,2879
google-iops-randread-perf,748181,2922,679,0,0,0
google-iops-randwrite-perf,0,0,0,591688,2311,859
random-read-4k-blocks-1c,13821,53,59,0,0,0
random-read-4k-blocks-2c,34133,133,53,0,0,0
random-read-4k-blocks-4c,72887,284,51,0,0,0
random-read-4k-blocks-8c,146359,571,52,0,0,0
random-read-4k-blocks-16c,257670,1006,59,0,0,0
random-read-4k-blocks-32c,277905,1085,112,0,0,0
random-read-4k-blocks-64c,280135,1094,225,0,0,0
random-read-8k-blocks-1c,13369,104,61,0,0,0
random-read-8k-blocks-2c,31909,249,55,0,0,0
random-read-8k-blocks-4c,69247,540,54,0,0,0
random-read-8k-blocks-8c,131468,1027,58,0,0,0
random-read-8k-blocks-16c,222300,1736,69,0,0,0
random-read-8k-blocks-32c,267025,2086,116,0,0,0
random-read-8k-blocks-64c,266610,2082,237,0,0,0
random-read-16k-blocks-1c,12568,196,63,0,0,0
random-read-16k-blocks-2c,31330,489,57,0,0,0
random-read-16k-blocks-4c,60992,953,61,0,0,0
random-read-16k-blocks-8c,146274,571,52,0,0,0
random-read-16k-blocks-16c,165752,2589,93,0,0,0
random-read-16k-blocks-32c,223951,3499,139,0,0,0
random-read-16k-blocks-64c,236067,3688,267,0,0,0
random-write-4k-blocks-1c,0,0,0,64120,250,12
random-write-4k-blocks-2c,0,0,0,129264,504,12
random-write-4k-blocks-4c,0,0,0,243112,949,13
random-write-4k-blocks-8c,0,0,0,253835,991,28
random-write-4k-blocks-16c,0,0,0,254459,993,59
random-write-4k-blocks-32c,0,0,0,255253,997,122
random-write-4k-blocks-64c,0,0,0,254592,994,248
random-write-8k-blocks-1c,0,0,0,59104,461,13
random-write-8k-blocks-2c,0,0,0,117775,920,13
random-write-8k-blocks-4c,0,0,0,224161,1751,14
random-write-8k-blocks-8c,0,0,0,239771,1873,30
random-write-8k-blocks-16c,0,0,0,239040,1867,63
random-write-8k-blocks-32c,0,0,0,241925,1890,128
random-write-8k-blocks-64c,0,0,0,241597,1887,261
