jobname,read_iops,read_bw (MiB/s),read_lat (usec),write_iops,write_bw (MiB/s),write_lat (usec)
mh-estimation-test,119356,1865,7270,21092,329,6669
google-iops-randread-perf,669721,2616,759,0,0,0
google-iops-randwrite-perf,0,0,0,340278,1329,1498
random-read-4k-blocks-1c,11363,44,79,0,0,0
random-read-4k-blocks-2c,22470,87,80,0,0,0
random-read-4k-blocks-4c,46448,181,79,0,0,0
random-read-4k-blocks-8c,99544,388,77,0,0,0
random-read-4k-blocks-16c,189489,740,81,0,0,0
random-read-4k-blocks-32c,276488,1080,112,0,0,0
random-read-4k-blocks-64c,279695,1092,226,0,0,0
random-read-8k-blocks-1c,10683,83,84,0,0,0
random-read-8k-blocks-2c,21052,164,85,0,0,0
random-read-8k-blocks-4c,42419,331,87,0,0,0
random-read-8k-blocks-8c,86970,679,88,0,0,0
random-read-8k-blocks-16c,156647,1223,99,0,0,0
random-read-8k-blocks-32c,245918,1921,127,0,0,0
random-read-8k-blocks-64c,270419,2112,233,0,0,0
random-read-16k-blocks-1c,9945,155,90,0,0,0
random-read-16k-blocks-2c,19531,305,92,0,0,0
random-read-16k-blocks-4c,37728,589,97,0,0,0
random-read-16k-blocks-8c,99659,389,77,0,0,0
random-read-16k-blocks-16c,115920,1811,134,0,0,0
random-read-16k-blocks-32c,164679,2573,191,0,0,0
random-read-16k-blocks-64c,203199,3175,311,0,0,0
random-write-4k-blocks-1c,0,0,0,58138,227,13
random-write-4k-blocks-2c,0,0,0,96168,375,17
random-write-4k-blocks-4c,0,0,0,250684,979,13
random-write-4k-blocks-8c,0,0,0,258831,1011,27
random-write-4k-blocks-16c,0,0,0,257797,1007,59
random-write-4k-blocks-32c,0,0,0,258292,1008,120
random-write-4k-blocks-64c,0,0,0,257851,1007,245
random-write-8k-blocks-1c,0,0,0,49097,383,15
random-write-8k-blocks-2c,0,0,0,114580,895,14
random-write-8k-blocks-4c,0,0,0,214969,1679,15
random-write-8k-blocks-8c,0,0,0,228999,1789,31
random-write-8k-blocks-16c,0,0,0,238737,1865,63
random-write-8k-blocks-32c,0,0,0,244588,1910,127
random-write-8k-blocks-64c,0,0,0,239822,1873,263
