jobname,read_iops,read_bw (MiB/s),read_lat (usec),write_iops,write_bw (MiB/s),write_lat (usec)
mh-estimation-test,60660,948,14788,10707,167,11791
google-iops-randread-perf,325250,1270,1569,0,0,0
google-iops-randwrite-perf,0,0,0,357970,1398,1419
random-read-4k-blocks-1c,9719,37,99,0,0,0
random-read-4k-blocks-2c,20648,80,93,0,0,0
random-read-4k-blocks-4c,42202,164,91,0,0,0
random-read-4k-blocks-8c,81769,319,94,0,0,0
random-read-4k-blocks-16c,141164,551,109,0,0,0
random-read-4k-blocks-32c,163216,637,191,0,0,0
random-read-4k-blocks-64c,160478,626,393,0,0,0
random-read-8k-blocks-1c,9462,73,102,0,0,0
random-read-8k-blocks-2c,18774,146,103,0,0,0
random-read-8k-blocks-4c,36839,287,105,0,0,0
random-read-8k-blocks-8c,70186,548,110,0,0,0
random-read-8k-blocks-16c,124621,973,124,0,0,0
random-read-8k-blocks-32c,155994,1218,199,0,0,0
random-read-8k-blocks-64c,156645,1223,403,0,0,0
random-read-16k-blocks-1c,7958,124,122,0,0,0
random-read-16k-blocks-2c,15788,246,123,0,0,0
random-read-16k-blocks-4c,30714,479,126,0,0,0
random-read-16k-blocks-8c,81060,316,95,0,0,0
random-read-16k-blocks-16c,98737,1542,157,0,0,0
random-read-16k-blocks-32c,97244,1519,324,0,0,0
random-read-16k-blocks-64c,97002,1515,654,0,0,0
random-write-4k-blocks-1c,0,0,0,37365,145,23
random-write-4k-blocks-2c,0,0,0,67906,265,26
random-write-4k-blocks-4c,0,0,0,110025,429,33
random-write-4k-blocks-8c,0,0,0,141612,553,50
random-write-4k-blocks-16c,0,0,0,145424,568,104
random-write-4k-blocks-32c,0,0,0,147550,576,211
random-write-4k-blocks-64c,0,0,0,147727,577,427
random-write-8k-blocks-1c,0,0,0,35671,278,24
random-write-8k-blocks-2c,0,0,0,63135,493,28
random-write-8k-blocks-4c,0,0,0,104559,816,34
random-write-8k-blocks-8c,0,0,0,142814,1115,50
random-write-8k-blocks-16c,0,0,0,141758,1107,107
random-write-8k-blocks-32c,0,0,0,143846,1123,216
random-write-8k-blocks-64c,0,0,0,144117,1125,438
